代码, 转债名称, 行业, 评级, 现价, 溢价率, 剩余规模, 双低
128100, 搜特转债, 纺织服装-服装家纺-休闲服装, A, 110.299, 7.64, 7.991, 117.94
128013, 洪涛转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, A-, 127.667, 0.31, 10.612, 127.98
127003, 海印转债, 商业贸易-商业物业经营-一般物业经营, AA, 122.343, 7.59, 6.736, 129.93
128130, 景兴转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA, 129.95, 7.24, 9.987, 137.19
128066, 亚泰转债, 建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ, AA-, 119.33, 19.2, 4.798, 138.53
127028, 英特转债, 医药生物-医药商业Ⅱ-医药商业Ⅲ, AA+, 126.957, 12.79, 5.99, 139.75
113610, 灵康转债, 医药生物-化学制药-化学制剂, AA-, 130.09, 10.57, 4.58, 140.66
123080, 海波转债, 建筑装饰-专业工程-钢结构, A+, 129.614, 12.43, 2.435, 142.04
110063, 鹰19转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA+, 122.49, 19.56, 18.092, 142.05
113570, 百达转债, 机械设备-通用机械-其它通用机械, A+, 128.96, 13.1, 2.799, 142.06
110043, 无锡转债, 银行-银行Ⅱ-银行Ⅲ, AA+, 122.3, 20.16, 29.214, 142.46
110057, 现代转债, 医药生物-化学制药-化学制剂, AAA, 124.7, 17.84, 16.157, 142.54
110047, 山鹰转债, 轻工制造-造纸Ⅱ-造纸Ⅲ, AA+, 122.07, 20.61, 22.455, 142.68
113044, 大秦转债, 交通运输-铁路运输Ⅱ-铁路运输Ⅲ, AAA, 110.93, 20.87, 319.992, 131.8
128062, 亚太药业, 医药生物-化学制药-化学制剂, B, 103.098, 95.26, 9.624, 198.358
113011, 光大转债, 银行-银行Ⅱ-银行Ⅲ, AAA, 115.2, 17.85, 241.98, 133.05
113591, 胜达转债, 轻工制造-包装印刷Ⅱ-包装印刷Ⅲ, AA-, 126.85, 10.46, 4.778, 137.31
110053, 苏银转债, 银行-银行Ⅱ-银行Ⅲ, AAA, 125.96, 17.82, 199.993, 143.78
113017, 吉视转债, 传媒-文化传媒-有线电视网络, AA+, 124.100, 12.04, 11.351, 135.93
110052, 贵广转债, 传媒-文化传媒-有线电视网络, AA+, 147.980, 38.88, 15.261, 186.86
